# Gene-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
ENSG00000129566	0.0002880705171624713	1.7113296767119056e-90
ENSG00000099810	0.0006730597374450084	3.6375558141827828e-90
ENSG00000139793	0.00042010488920489675	3.7630114495252466e-90
ENSG00000138641	0.0001238861501228913	6.721895558817693e-90
ENSG00000152520	0.00034551546064651324	8.788234838681827e-90
ENSG00000161551	0.0003478757996934581	1.5375917084888511e-89
ENSG00000197860	3.3264785474320906e-05	2.071493920311815e-89
ENSG00000143776	0.000138493549342381	6.454005913063699e-89
ENSG00000198205	-0.0004961844047833492	1.4736520231238985e-88
ENSG00000069667	3.1690355747611894e-05	1.6759567475640045e-88
ENSG00000182568	0.00027242285893442736	3.092059607022165e-88
ENSG00000181804	-5.376017789984283e-05	6.129430387874832e-88
ENSG00000122547	0.00018322572217273686	3.63803154312563e-87
ENSG00000151376	0.0004950895851752112	5.618209828749772e-87
ENSG00000198556	0.0003224360556860097	5.671700366044244e-87
ENSG00000135636	0.00017122728690212568	5.770380638797228e-87
ENSG00000188171	0.0004807312022587878	9.679251922098964e-87
ENSG00000074054	-6.186052961318993e-05	1.0753506388932394e-86
ENSG00000136158	0.0005774594977129562	1.523904697486724e-86
ENSG00000182195	0.0003616426706715859	1.6661695525647346e-86
ENSG00000147459	0.00065260456938004	3.2082062156616168e-86
ENSG00000120868	-0.00019901354024818847	3.7433253178104726e-86
ENSG00000133246	0.0004153860995801761	1.1333416303405147e-85
ENSG00000162885	-0.0003929241198601379	1.299035966153783e-85
ENSG00000173875	0.0004553708880884578	5.630503591224001e-85
ENSG00000131381	9.642781914191375e-05	8.45122362523284e-85
ENSG00000054983	0.0004015643139153812	8.745975381209262e-85
ENSG00000183826	0.00010326888650432495	1.2505519600026544e-84
ENSG00000109762	0.0002096519919784648	1.4222681216270408e-84
ENSG00000136631	0.0005196001066964948	2.9406602522427255e-84
ENSG00000118495	0.00036307558126679503	7.225080741513493e-84
ENSG00000145416	0.00023843507850165193	8.228016936716671e-84
ENSG00000102908	0.0004165989021537892	1.2385421963001854e-83
ENSG00000103227	0.0004609451920379797	1.4863953371819531e-83
ENSG00000100461	-0.00016467183784622748	2.389930909449057e-83
ENSG00000182759	-0.00014516087751186268	2.802991137117721e-83
ENSG00000060982	0.0004204862688160002	3.467032218005211e-83
ENSG00000137486	6.580123762248673e-05	4.062210509800361e-83
ENSG00000071189	0.00028855973625548103	4.952550721766996e-83
ENSG00000182983	0.00023596010798114132	1.2521973002170419e-82
ENSG00000175265	0.0005141988979704138	1.5077585706943573e-82
ENSG00000131374	0.0001715921053001756	1.6708519871764352e-82
ENSG00000155849	-8.04902198749692e-05	3.7016964899064745e-82
ENSG00000055732	0.0002164621347235599	3.8796394947699084e-82
ENSG00000261582	0.00020200539341428425	5.781846679825946e-82
ENSG00000197903	0.0003210507089832219	7.822348134232588e-82
ENSG00000008735	-0.00022214488533845204	1.3129756370988682e-81
ENSG00000268182	0.00020817950012148894	2.0371329471567777e-81
ENSG00000197961	0.0005780481596075686	2.0371329471567777e-81
ENSG00000178860	0.00010133212188777044	2.894599061906083e-81
ENSG00000067066	0.0005274995951537978	4.514786292489281e-81
ENSG00000005379	0.00025866074894356436	5.716458532169611e-81
ENSG00000103485	0.00016385796274270094	8.948993868456334e-81
ENSG00000189420	0.00016546520929669077	9.179923441180732e-81
ENSG00000130294	-0.00030145895274491226	9.552352240942441e-81
ENSG00000261130	0.00019894307136973153	1.1775432403777156e-80
ENSG00000174600	-0.00013434409358134482	1.2194045919064734e-80
ENSG00000205726	0.00030168916528601367	1.8242237938073183e-80
ENSG00000198815	0.00038399826067027533	3.429910588147977e-80
